Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,44.709999,45.770000,42.330002,44.730000,37.998814,0
2018-12-01,45.209999,45.209999,37.560001,40.209999,34.159008,0
2019-01-01,40.180000,43.169998,39.020000,43.169998,37.243721,0
2019-02-01,43.040001,44.560001,43.040001,44.279999,38.201344,0
2019-03-01,44.660000,45.849998,43.779999,45.389999,39.158966,0
2019-04-01,45.869999,47.410000,45.869999,47.360001,40.858532,0
2019-05-01,46.950001,47.279999,44.610001,44.610001,38.486042,0
2019-06-01,44.139999,48.000000,44.139999,47.599998,41.065582,0
2019-07-01,48.029999,49.689999,48.029999,48.849998,42.143990,0
2019-08-01,48.560001,48.560001,45.490002,47.049999,40.591091,0
2019-09-01,46.720001,47.869999,46.720001,47.230000,42.215618,0
2019-10-01,46.779999,48.619999,45.939999,48.540001,43.386536,0
2019-11-01,48.860001,50.419998,48.529999,50.259998,44.923923,0
2019-12-01,49.740002,50.919998,49.490002,50.720001,45.335087,0
2020-01-01,51.270000,53.259998,50.970001,51.840000,47.319946,0
2020-02-01,52.369999,54.990002,48.240002,48.240002,44.033840,0
2020-03-01,50.720001,51.549999,38.130001,43.919998,40.090508,0
2020-04-01,42.080002,49.610001,42.080002,49.490002,45.174854,0
2020-05-01,48.450001,52.639999,48.450001,52.639999,48.050186,0
2020-06-01,52.820000,54.590000,51.759998,54.209999,49.483292,0
2020-07-01,54.650002,57.700001,54.650002,57.700001,52.668999,0
2020-08-01,58.290001,61.730000,57.639999,61.730000,56.347610,0
2020-09-01,62.310001,63.279999,56.610001,59.020000,54.014767,0
2020-10-01,59.570000,62.009998,57.360001,57.360001,52.495552,0
2020-11-01,57.900002,62.360001,57.900002,61.880001,56.632225,0
2020-12-01,62.529999,62.740002,60.320000,62.369999,57.080669,0
2021-01-01,61.500000,64.150002,61.419998,61.740002,57.943794,0
2021-02-01,62.900002,65.629997,62.119999,62.299999,58.469360,0
2021-03-01,63.880001,64.629997,60.939999,64.629997,60.656094,0
2021-04-01,65.629997,69.809998,65.629997,69.160004,64.907562,0
2021-05-01,69.099998,69.379997,66.040001,68.919998,64.682320,0
2021-06-01,68.660004,72.339996,68.379997,72.199997,67.760628,0
2021-07-01,72.489998,75.910004,72.489998,75.360001,70.726349,0
2021-08-01,75.279999,76.290001,72.540001,75.400002,70.763885,0
2021-09-01,75.599998,75.889999,70.980003,70.980003,69.438141,0
2021-10-01,71.690002,76.389999,70.169998,76.389999,74.730629,0
2021-11-01,75.949997,78.800003,75.949997,76.629997,74.965416,0
2021-12-01,75.839996,79.830002,75.699997,79.160004,77.440453,0
2022-01-01,79.059998,79.059998,68.730003,72.510002,71.427895,0
2022-02-01,72.959999,74.050003,66.559998,69.290001,68.255943,0
2022-03-01,68.190002,73.300003,65.010002,71.330002,70.265503,0
2022-04-01,71.510002,72.330002,63.580002,63.580002,62.631157,0
2022-05-01,64.129997,66.190002,59.310001,63.139999,62.197723,0
2022-06-01,62.619999,64.099998,56.070000,58.060001,57.193535,0
2022-07-01,58.500000,64.279999,58.500000,64.279999,63.320713,0
2022-08-01,63.959999,66.550003,61.160000,61.160000,60.247276,0
2022-09-01,61.299999,63.459999,55.759998,55.759998,55.066933,0
2022-10-01,57.430000,59.820000,55.480000,59.090000,58.355545,0
2022-11-01,58.680000,62.400002,56.080002,62.400002,61.624405,0
2022-12-01,62.290001,62.290001,57.419998,58.310001,57.585243,0
2023-01-01,57.900002,61.730000,57.259998,61.730000,61.189960,0
2023-02-01,62.470001,63.660000,60.240002,60.340000,59.812122,0
2023-03-01,60.070000,63.799999,59.450001,63.799999,63.241852,0
2023-04-01,64.110001,64.830002,62.919998,64.830002,64.262840,0
2023-05-01,64.860001,66.669998,63.410000,66.120003,65.541557,0
2023-06-01,66.699997,69.849998,66.680000,69.849998,69.238922,0
2023-07-01,69.690002,72.180000,68.720001,72.180000,71.548538,0
2023-08-01,72.040001,72.040001,68.220001,71.089996,70.468071,0
2023-09-01,71.239998,71.239998,67.419998,67.830002,67.830002,0
2023-10-01,68.190002,68.949997,67.139999,68.949997,68.949997,0
